Marca,Vehiculos,CO2_medio_wltp,Masa_media_kg,Potencia_media_kw
,292,179.3403141361256,2044.239726027397,238.2568493150685
108,329,96.37689969604864,1287.808510638298,105.5410334346505
1089,294,106.2755102040816,1600.748299319728,121.9047619047619
122,228,99.92105263157895,1841.302631578947,164.6491228070175
124,1594,101.9247176913425,1379.704516938519,105.3939774153074
15,736,93.67798913043478,1825.869565217391,162.8233695652174
166,1581,85.36053130929791,1463.867172675522,87.69512966476913
1683,86,102.3953488372093,1446.162790697674,136.1860465116279
17,15,267.5333333333334,2489.933333333333,388.8666666666667
170,10,118.1,1008.0,64.4
180,227,131.2775330396476,2203.766519823789,270.3744493392071
211,601,96.47254575707154,1688.402662229617,132.4675540765391
267,250,64.664,1559.88,102.252
27,6,112.3333333333333,1281.833333333333,83.33333333333333
350,5,57.2,2949.0,428.0
447,107,98.11214953271028,1370.065420560748,94.82242990654206
45,17,69.0,1182.0,75.82352941176471
46,395,127.6632911392405,1638.243037974684,116.4962025316456
500 MAXI,1,,715.0,126.0
76,174,1.327586206896552,1723.787356321839,127.8333333333333
79,1,126.0,1119.0,190.0
894,105,114.2,1783.095238095238,135.5904761904762
93,4,100.0,1370.75,97.0
948,199,74.61809045226131,1658.21608040201,112.9547738693467
95,11,105.0909090909091,1575.454545454546,108.3636363636364
ABARTH,2404,0.4018302828618968,1422.236272878536,112.5565723793677
ACURA,2,,1970.0,265.0
AIWAYS,428,0.0,1844.953271028037,149.0070093457944
AKINSI,5,0.0,1055.0,35.0
ALFA ROMEO,42201,135.6089099526066,1664.848368522073,131.8272330741513
ALLIED VEHICLES LTD,210,161.9952380952381,1746.4,90.81904761904762
ALLIED VEHICLES LTD.,33,147.3939393939394,1681.606060606061,86.57575757575758
ALPINA,913,234.2331491712707,2135.078860898138,354.5169769989047
ALPINE,3820,148.4287958115183,1193.744502617801,213.198167539267
APOLLO,1,,1500.0,515.0
ARCFOX,2,0.0,2172.5,160.0
ARIEL MOTOR COMPANY,10,169.0,763.0,264.0
ASTON MARTIN,1297,299.8660436137072,2030.373939861218,497.834232845027
AUDI,518296,121.9661777006723,1755.128577354595,153.4235038693865
AUDI AG,1440,43.93822393822394,2156.440277777778,234.5555555555555
AUDI CHINA FAW,5,0.0,1951.0,150.0
AUDI SPORT,89,71.3030303030303,2285.629213483146,314.2584269662921
AUTOMOBIL LAMBORGHINI S.P,1,320.0,2272.0,490.0
AUTOMOBIL LAMBORGHINI SPA,1,320.0,2272.0,490.0
AUTOMOBILI LAMBORGHINI,4,273.6666666666667,1943.5,543.5
AUTOMOBILI LAMBORGHINI S.P.A.,2326,313.9342218400688,1976.573516766982,495.7515047291487
AVATR,1,0.0,2425.0,
AVELING-BARFORD,8,128.25,1466.0,92.0
AVTOVAZ,6,246.75,1366.666666666667,60.66666666666666
B,13,0.0,1648.384615384616,100.0
BAIC,1281,182.8329764453962,1617.620500782473,124.088212334114
BAIC BEIJING,45,178.9090909090909,2040.688888888889,136.3333333333333
BENIMAR,1,314.0,3049.0,125.0
BENTLEY,1352,235.8349370836417,2464.173816568047,413.3594674556213
BERGADANA,18,124.0,1701.0,15.0
BITTER,1,,1898.0,290.0
BMW,623790,101.0865969201379,1908.813313176913,169.9440052986861
BMW BRILLIANCE,17,0.0,1959.235294117647,182.4117647058824
BMW I,4,0.0,1338.75,75.0
BMW M,5,,2558.0,378.0
BOLDMEN,1,,1580.0,300.0
BRABUS,53,335.7547169811321,2566.132075471698,654.9433962264151
BRAVIA,5,236.8,2868.6,121.0
BUGATTI,2,487.0,2070.0,1177.0
BUS-PRESTIGE,1,322.0,2935.0,140.0
BYD,42275,4.037896731406916,1996.847451212301,157.7894736842105
CADILLAC,609,62.78837209302326,2566.04105090312,319.1986863711002
CAMARO,1,,1746.0,339.0
CAPRON,2,234.0,2849.0,103.0
CARPOL,1,185.0,2920.0,125.0
CASELANI,1,0.0,2167.0,100.0
CATERHAM,158,146.3205128205128,697.7848101265823,124.0
CATERHAM CARS LTD,14,144.5,701.4285714285714,126.1428571428571
CATERHAM CARS LTD.,9,130.6666666666667,656.1111111111111,99.11111111111111
CHERY,64,136.7118644067797,1668.90625,138.875
CHERY AUTOMOBILE,1,0.0,1775.0,37.0
CHERY EBRO,1,167.0,1678.0,108.0
CHERY JAECOO,9,124.2222222222222,1805.111111111111,115.7777777777778
CHERY OMODA,4,170.0,1498.0,137.0
CHEVROLET,883,292.8981818181818,1983.918181818182,346.8954545454545
CHONGQING CHANGAN AUTOMOB,3,0.0,2425.0,110.0
CHRYSLER,53,73.96,2327.622641509434,201.6603773584906
CIRELLI,194,170.8556701030928,1641.881443298969,125.3814432989691
CITROEN,326471,117.0345485621868,1307.555568488472,82.40857240876538
CITROEN ADRIA,10,293.4,2999.5,104.8
CITROEN DS,4315,122.5093858632677,1113.302665121669,69.58725376593279
CITROEN GIOTTILINE,1,230.0,2925.0,103.0
CITROEN/ SUN LIVING,10,301.8,2987.7,103.0
CITROEN/CAPRON,24,289.7916666666667,2925.25,105.25
CITROEN/CARPOL,127,192.8188976377953,1983.283464566929,130.0
CITROEN/CLEVER,4,224.75,2867.5,121.0
CITROEN/DETHLEFFS,5,257.6,2984.4,117.4
CITROEN/ELNAGH,3,229.3333333333333,2971.0,103.0
CITROEN/HOBBY,15,272.4666666666666,2997.866666666667,105.4
CITROEN/LMC,3,297.3333333333333,2948.333333333334,103.0
CITROEN/MCLOUIS,3,224.0,2890.0,103.0
CITROEN/POESSL,12,219.5,2809.166666666667,102.75
COBRA 427 ROADSTER,1,,1235.0,182.0
COUPE GP,1,,1280.0,220.0
COYOTE,1,,1335.0,268.0
CSBS,1,,1000.0,150.0
CUPRA,186113,100.9247996469265,1629.182630982253,131.7670318917873
DACIA,545343,117.7923032206837,1271.055643879173,65.93384518338951
DALLARA,26,226.7692307692308,1010.0,292.9615384615385
DANGEL,3,210.0,1924.0,106.0
DAYUN,3,0.0,1205.0,30.0
DEEPAL,2,0.0,2148.0,160.0
DETHLEFFS,4,193.0,2189.5,99.75
DFSK,1269,170.1790220820189,1600.271867612293,92.20190779014308
DFSK MOTOR,460,161.4948453608247,1684.932608695652,108.7673913043478
DFSK SERES SOKON,138,175.984962406015,1537.355072463768,86.44202898550725
DFSK SERES SOKON FENG,20,44.55,1872.0,80.5
DFSK SERES SOKON FENGON,164,115.6645161290323,1768.719512195122,103.5243902439025
DIABLO 60 V12,1,,1735.0,295.0
DODGE,959,321.6467065868263,2181.222106360793,355.2565172054223
DONG FENG,12,12.0,1422.083333333333,71.33333333333333
DONGFENG,227,1.29646017699115,1464.140969162996,77.67400881057269
DONKERVOORT,13,194.3846153846154,907.3076923076923,332.6923076923077
DR,24763,153.0969995557889,1396.498081815612,95.99559827161491
DS,36521,99.36229463307777,1598.825415514362,109.3145587470223
E.GO,3,0.0,1239.0,38.33333333333334
EBRO,33,162.6774193548387,1612.242424242424,108.0
EGEN TILLVERKNING,3,,1120.0,163.3333333333333
ELARIS,17,0.0,957.3529411764706,37.70588235294117
EMC,1306,158.0643185298622,1392.233537519142,92.82695252679939
