Pais,Vehiculos,CO2_medio_wltp,Masa_media_kg,Potencia_media_kw
AT,252844,105.7641009820556,1611.92558417314,108.5392574077297
BE,448979,78.87625303919162,1681.562614287082,132.5510376364564
BG,42011,130.7357358786985,1555.60900716479,120.0467258575135
CY,14914,114.4706986723884,1547.576706450315,116.588842698136
CZ,227734,132.3042290752767,1545.052675489826,115.21999350119
DE,2729299,117.2691861380052,1634.220385192459,131.0421391489585
DK,171622,60.33749227846479,1779.392050718768,160.2356382792741
EE,25396,131.8238305244921,1642.21361631753,124.8105213419436
ES,1056889,117.6007081179995,1479.097464442779,99.7127565393117
FI,71813,64.7620705502249,1743.158815256291,131.0381546516647
FR,1820622,94.11581811051389,1480.725438888468,100.0690665058425
GR,136461,108.7968943507669,1365.648558928925,92.54738716556379
HR,64595,125.9648413914821,1427.395293753387,96.96245839461258
HU,117010,123.7657807025041,1558.675814032989,118.4665669600889
IE,119226,99.96006882895658,1575.962448520839,107.235062151736
IS,9692,92.52930856553148,1794.894416348436,148.2547461824185
IT,1555580,119.7732784412853,1409.767084945808,93.20969991900127
LT,29818,128.287209068348,1632.823998926823,121.5915218995238
LU,46926,99.18288758657432,1707.837286618503,128.197421417155
LV,17239,129.4174256047335,1648.233714252567,123.6782295956842
MT,7481,74.190883571715,1488.380296751771,106.8170030744553
NL,377395,65.33346758701096,1638.599411756913,132.5619655798301
NO,128602,11.84835357981677,2036.328089765322,230.0707076205288
PL,539863,133.2163030250267,1562.817837117935,115.1074671172391
PT,208014,87.08063399578874,1537.905934215966,112.1361783341506
RO,150724,121.213371247013,1483.03367170913,100.0701116112721
SE,267628,62.04161573570475,1866.006038232173,175.7219087688882
SI,52344,126.9596515359927,1475.412138927098,101.7710530337766
SK,91593,135.2902260565687,1540.032840937626,111.2273427008614
