Anio,Combustible,Vehiculos,CO2_medio_wltp,Masa_media_kg,Potencia_media_kw,Cilindrada_media_cm3,CO2_minimo,CO2_maximo
2021,DIESEL,2239611,144.8525187817136,1627.766940502174,112.585678205026,1838.382222521938,0.0,449.0
2021,DIESEL/ELECTRIC,55955,37.29892207861855,2291.485854704673,143.1178268251273,1950.116951121437,18.0,214.0
2021,E85,7237,160.2447117378681,1581.92704159182,112.2429183363272,1629.020174105292,116.0,363.0
2021,ELECTRIC,999649,0.0,1747.874842694314,107.525297810087,2894.0,0.0,0.0
2021,HYDROGEN,924,0.0,1963.365800865801,120.6240310077519,,0.0,0.0
2021,LPG,208523,119.5493164554532,1259.905904864212,67.42603453815646,1046.956916023652,24.0,482.0
2021,NG,39154,105.0303440525146,1317.827757061858,72.92777238596312,1137.34419567551,97.0,291.0
2021,NG-BIOMETHANE,4492,111.9640705199732,1166.174309884239,62.65382902938558,890.859750667854,98.0,271.0
2021,PETROL,5514427,134.9105849062019,1318.32732570939,94.63417249615283,1379.233178052985,44.0,572.0
2021,PETROL/ELECTRIC,850455,37.82353564303411,1899.629680887715,132.1305297683683,1772.297835161863,4.0,399.0
2021,UNKNOWN,94,159.1666666666667,2076.929824561404,135.8055555555555,2056.761904761905,111.0,327.0
2022,diesel,1841731,145.5821616167434,1660.896650413744,115.9922993428215,1877.786919524228,14.0,730.0
2022,diesel/electric,42016,35.26970223502249,2364.859077494288,143.1579874333587,1950.216893564357,12.0,214.0
2022,e85,38907,130.5031758685422,1425.86087336469,96.77903719125094,1442.171130416902,117.0,363.0
2022,electric,1276456,0.0,1844.7456708261,145.5066669336458,,0.0,0.0
2022,hydrogen,1238,0.0,1943.129240710824,124.5223759153784,,0.0,0.0
2022,lpg,243854,120.3309598907341,1270.081934272147,68.07190368007086,1070.083508984885,99.0,417.0
2022,ng,18254,105.5629520052597,1342.53506080859,77.33641941492276,1206.472475052089,68.0,224.0
2022,petrol,5159284,133.992590456623,1342.527509414156,97.11578114131105,1405.413828954808,19.0,572.0
2022,petrol/electric,857699,33.93232607028508,1912.262404715879,131.387583450508,1788.517377952095,12.0,333.0
2022,unknown,105,107.0909090909091,1678.454545454546,94.77272727272727,1235.227272727273,38.0,121.0
2023,diesel,1823507,147.8297038387291,1694.512251514713,119.3945800421665,1929.595557931971,29.0,501.0
2023,diesel/electric,30304,32.21398190656225,2407.577217529039,140.9790453236928,2025.636153643083,10.0,227.0
2023,e85,46206,129.604730828437,1454.163117344068,97.49262000605982,1457.227209765388,117.0,293.0
2023,electric,1669222,0.0,1893.850661499999,170.2476040569968,,0.0,0.0
2023,hydrogen,730,0.0,1974.047945205479,121.8164383561644,3456.0,0.0,0.0
2023,lpg,292689,120.5699370269328,1284.224501091602,69.26769119335265,1066.138720621547,103.0,367.0
2023,ng,7365,106.9151276480174,1381.002851323829,82.99008825526137,1296.112710483433,98.0,224.0
2023,petrol,6055175,133.1187132975756,1356.223984310811,98.0219598664794,1411.493006704863,1.0,572.0
2023,petrol/electric,809700,30.76619464402675,1963.633237082743,140.8246018256995,1839.910497311264,7.0,333.0
2024,diesel,1632178,149.8345914653932,1731.994904917527,121.3049633310256,1957.85405055016,90.0,538.0
2024,diesel/electric,45966,14.78487365491245,2420.265957446808,145.1667754427185,1995.433972936518,10.0,223.0
2024,e85,31086,131.9532957292506,1499.78919770958,100.9342790966995,1651.234646935821,116.0,389.0
2024,electric,1568624,0.0,1957.508102046645,185.0277103597543,,0.0,0.0
2024,hydrogen,721,0.0,1991.312066574202,133.2066574202497,,0.0,0.0
2024,lpg,321041,118.8632640594417,1279.274936846073,69.44080974081191,1054.064091701969,94.0,370.0
2024,ng,3047,106.8939940925501,1407.011486708238,84.44108959632425,1307.427633738103,98.0,274.0
2024,petrol,6451251,130.7441657735105,1373.171547388158,96.28935486321835,1419.555378637978,51.0,543.0
2024,petrol/electric,728380,27.51163459133489,2027.327076051171,153.151530628356,1926.653852280061,4.0,368.0
2024,unknown,20,214.0,1843.65,274.8,2184.45,214.0,214.0
